INSEE,Commune,DEP,REG,82_14_a,82_14_b,82_14_c,82_14_d,82_14_e,82_14_f,82_14_g
01001,L'Abergement-Clémenciat,01,82,2,0,0,0,0,0,0
01002,L'Abergement-de-Varey,01,82,2,0,0,0,0,0,0
01004,Ambérieu-en-Bugey,01,82,2,0,0,1,0,0,0
01005,Ambérieux-en-Dombes,01,82,1,0,0,0,0,0,0
01006,Ambléon,01,82,1,0,0,0,0,0,0
01007,Ambronay,01,82,3,0,0,1,0,0,0
01008,Ambutrix,01,82,2,0,0,0,0,0,0
01009,Andert-et-Condon,01,82,1,0,0,0,0,0,0
01011,Apremont,01,82,1,0,0,0,0,0,0
01014,Arbent,01,82,2,0,0,0,0,0,0
01015,Arbignieu,01,82,1,0,0,0,0,0,0
01016,Arbigny,01,82,4,0,0,0,0,0,0
01017,Argis,01,82,2,1,0,0,0,0,0
01021,Ars-sur-Formans,01,82,2,0,0,0,0,0,0
01022,Artemare,01,82,2,0,0,0,0,0,0
01023,Asnières-sur-Saône,01,82,5,0,0,0,0,0,0
01024,Attignat,01,82,0,0,0,1,0,0,0
01025,Bâgé-la-Ville,01,82,0,0,0,1,0,0,0
01027,Balan,01,82,2,0,0,0,0,0,0
01028,Baneins,01,82,1,0,0,0,0,0,0
01029,Beaupont,01,82,0,0,0,1,0,0,0
01030,Beauregard,01,82,2,0,0,0,0,0,0
01031,Bellignat,01,82,1,0,0,0,0,0,0
01032,Béligneux,01,82,2,0,0,0,0,0,0
01033,Bellegarde-sur-Valserine,01,82,3,0,0,0,0,0,0
01034,Belley,01,82,6,0,0,0,0,0,0
01036,Belmont-Luthézieu,01,82,1,0,0,0,0,0,0
01037,Bénonces,01,82,2,0,0,0,0,0,0
01038,Bény,01,82,2,0,0,1,0,0,0
01039,Béon,01,82,2,0,0,0,0,0,0
01041,Bettant,01,82,2,0,0,0,0,0,0
01043,Beynost,01,82,5,0,0,0,0,0,0
01044,Billiat,01,82,2,0,0,0,0,0,0
01046,Biziat,01,82,2,0,0,0,0,0,0
01047,Blyes,01,82,3,0,0,0,0,0,0
01049,Boisse,01,82,4,0,0,0,0,0,0
01052,Bouligneux,01,82,1,0,0,0,0,0,0
01053,Bourg-en-Bresse,01,82,5,0,0,0,0,0,0
01056,Boyeux-Saint-Jérôme,01,82,3,0,0,0,0,0,0
01057,Boz,01,82,2,0,0,0,0,0,0
01058,Brégnier-Cordon,01,82,2,0,0,0,0,0,0
01059,Brénaz,01,82,1,0,0,0,0,0,0
01060,Brénod,01,82,2,0,0,0,0,0,0
01061,Brens,01,82,2,0,0,0,0,0,0
01063,Brion,01,82,3,0,0,1,0,0,0
01064,Briord,01,82,1,0,0,0,0,0,0
01065,Buellas,01,82,0,0,0,2,0,0,0
01066,Burbanche,01,82,2,0,0,0,0,0,0
01068,Cerdon,01,82,3,0,0,0,0,0,0
01071,Cessy,01,82,1,0,0,0,0,0,0
01072,Ceyzériat,01,82,0,0,0,1,0,0,0
01073,Ceyzérieu,01,82,1,0,0,0,0,0,0
01074,Chalamont,01,82,3,0,0,0,0,0,0
01075,Chaleins,01,82,4,0,0,0,0,0,0
01076,Chaley,01,82,2,0,0,0,0,0,0
01077,Challes,01,82,1,0,0,0,0,0,0
01079,Champagne-en-Valromey,01,82,1,0,0,0,0,0,0
01080,Champdor,01,82,1,0,0,0,0,0,0
01081,Champfromier,01,82,1,0,0,0,0,0,0
01082,Chanay,01,82,1,0,0,0,0,0,0
01087,Charix,01,82,1,0,0,0,0,0,0
01088,Charnoz-sur-Ain,01,82,2,0,0,0,0,0,0
01089,Château-Gaillard,01,82,2,0,0,0,0,0,0
01091,Châtillon-en-Michaille,01,82,2,0,0,0,0,0,0
01092,Châtillon-la-Palud,01,82,1,0,0,1,0,0,0
01093,Châtillon-sur-Chalaronne,01,82,5,0,0,1,0,0,0
01094,Chavannes-sur-Reyssouze,01,82,3,0,0,0,0,0,0
01095,Chavannes-sur-Suran,01,82,1,0,0,0,0,0,0
01096,Chaveyriat,01,82,0,0,0,1,0,0,0
01098,Chazey-Bons,01,82,3,0,0,0,0,0,0
01099,Chazey-sur-Ain,01,82,3,0,0,0,0,0,0
01100,Cheignieu-la-Balme,01,82,1,0,0,0,0,0,0
01101,Chevillard,01,82,1,0,0,0,0,0,0
