code_reg	code_dept	code_zoneempl	code_comm	code_post	0	1	commune	pop11	naissances2011	deces2011
1	97	101	97101	97139	-61.5017	16.27278	Les Abymes	59311	837	386
1	97	106	97102	97121	-61.46167	16.46556	Anse-Bertrand	4910	48	41
1	97	101	97103	97122	-61.59294	16.25117	Baie-Mahault	30201	431	118
1	97	102	97104	97123	-61.7193	16.04551	Baillif	5094	62	35
1	97	102	97105	97100	-61.7281	16.00046	Basse-Terre	11730	165	105
1	97	102	97106	97125	-61.75418	16.14372	Bouillante	7513	92	56
1	97	101	97107	97130	-61.6117	16.05534	Capesterre-Belle-Eau	19448	253	157
1	97	103	97108	97140	-61.22999	15.92003	Capesterre-de-Marie-Galante	3352	36	32
1	97	102	97109	97113	-61.68642	15.9939	Gourbeyre	7855	105	53
1	97	106	97110	97127	-61.05269	16.31175	La Désirade	1554	10	17
1	97	101	97111	97126	-61.77958	16.3038	Deshaies	4356	49	36
1	97	103	97112	97112	-61.29438	15.90606	Grand-Bourg	5470	63	57
1	97	101	97113	97190	-61.46988	16.22522	Le Gosier	26739	448	172
1	97	101	97114	97128	-61.61381	16.12168	Goyave	8309	128	32
1	97	101	97115	97129	-61.66853	16.2414	Lamentin	15486	214	91
1	97	101	97116	97111	-61.47042	16.32402	Morne-à-l'Eau	16767	215	145
1	97	106	97117	97160	-61.3719	16.32046	Le Moule	22533	252	186
1	97	101	97118	97170	-61.65724	16.17161	Petit-Bourg	23729	341	142
1	97	106	97119	97131	-61.44976	16.38936	Petit-Canal	8022	109	51
1	97	101	97120	97110	-61.53572	16.2386	Pointe-à-Pitre	16063	250	182
1	97	101	97121	97116	-61.76327	16.22709	Pointe-Noire	6957	68	67
1	97	106	97122	97117	-61.49653	16.42637	Port-Louis	5541	58	49
1	97	102	97124	97120	-61.6901	16.03378	Saint-Claude	10505	125	84
1	97	106	97125	97118	-61.28164	16.27325	Saint-François	14953	199	78
1	97	103	97126	97134	-61.27542	15.96596	Saint-Louis	2582	22	38
1	97	106	97128	97180	-61.38747	16.25723	Sainte-Anne	24346	322	142
1	97	101	97129	97115	-61.71003	16.29398	Sainte-Rose	20241	251	120
1	97	102	97130	97136	-61.63411	15.8544	Terre-de-Bas	1102	3	9
1	97	102	97131	97137	-61.58426	15.86539	Terre-de-Haut	1780	11	10
1	97	102	97132	97114	-61.64796	15.99081	Trois-Rivières	8735	91	77
1	97	102	97133	97141	-61.69452	15.96022	Vieux-Fort	1834	25	10
1	97	102	97134	97119	-61.72572	16.08709	Vieux-Habitants	7617	101	57
2	97	206	97201	97216	-61.12308	14.81428	L'Ajoupa-Bouillon	1747	18	6
2	97	202	97202	97217	-61.0721	14.49936	Les Anses-d'Arlet	3872	38	35
2	97	206	97203	97218	-61.12322	14.84147	Basse-Pointe	3660	39	48
2	97	205	97204	97221	-61.16476	14.711	Le Carbet	3754	30	41
2	97	205	97205	97222	-61.12539	14.6587	Case-Pilote	4447	40	14
2	97	202	97206	97223	-61.02106	14.48909	Le Diamant	6025	87	30
2	97	202	97207	97224	-60.96767	14.57779	Ducos	17025	190	82
2	97	205	97208	97250	-61.11507	14.72603	Fonds-Saint-Denis	843	7	4
2	97	201	97209	97200/97234	-61.06919	14.64111	Fort-de-France	86753	1079	700
2	97	203	97210	97240	-60.90572	14.60606	Le François	18841	189	139
2	97	206	97211	97218	-61.1794	14.85002	Grand'Rivière	567	7	5
2	97	204	97212	97213	-61.02606	14.7121	Gros-Morne	10481	113	84
2	97	201	97213	97232	-60.99335	14.62476	Le Lamentin	39458	524	227
2	97	206	97214	97214	-61.07651	14.80112	Le Lorrain	7410	69	68
2	97	206	97215	97218	-61.15159	14.85509	Macouba	1148	9	12
2	97	206	97216	97225	-61.05079	14.78088	Le Marigot	3586	48	37
2	97	203	97217	97290	-60.85794	14.48403	Le Marin	8552	87	69
2	97	205	97218	97260	-61.12064	14.76941	Le Morne-Rouge	5043	51	42
2	97	205	97219	97250	-61.20348	14.82082	Le Prêcheur	1655	23	14
2	97	203	97220	97211	-60.89785	14.50883	Rivière-Pilote	12871	123	96
2	97	202	97221	97215	-60.96521	14.52612	Rivière-Salée	12855	163	59
2	97	204	97222	97231	-60.94295	14.67521	Le Robert	24017	233	122
2	97	202	97223	97270	-60.92161	14.55889	Saint-Esprit	9464	115	74
2	97	201	97224	97212	-61.0439	14.67641	Saint-Joseph	16849	202	100
2	97	205	97225	97250	-61.17249	14.77486	Saint-Pierre	4396	56	44
2	97	203	97226	97227	-60.85509	14.43664	Sainte-Anne	4666	46	31
2	97	202	97227	97228	-60.94512	14.48554	Sainte-Luce	10175	129	37
2	97	204	97228	97230	-61.01691	14.76899	Sainte-Marie	17934	206	155
2	97	201	97229	97233	-61.10004	14.64492	Schoelcher	20594	173	132
2	97	204	97230	97220	-60.94963	14.73864	La Trinité	13468	143	86
2	97	202	97231	97229	-61.03709	14.52727	Les Trois-Îlets	7607	100	39
2	97	203	97232	97280	-60.85719	14.54368	Le Vauclin	9183	108	82
2	97	205	97233	97226	-61.13532	14.70382	Le Morne-Vert	1869	13	15
2	97	205	97234	97222	-61.14698	14.67634	Bellefontaine	1476	17	12
3	97	301	97301	97390	-52.51993	3.94092	Régina	904	18	6
3	97	301	97302	97300	-52.50125	5.02174	Cayenne	57229	1431	262
3	97	302	97303	97350	-53.32084	5.27291	Iracoubo	1943	47	10
3	97	302	97304	97310	-52.76633	4.93361	Kourou	25260	689	62
3	97	301	97305	97355	-52.50844	4.98238	Macouria	9995	188	24
3	97	303	97306	97360	-53.64804	4.98286	Mana	9081	259	32
3	97	301	97307	97351	-52.34356	4.83179	Matoury	29235	626	72
3	97	301	97308	97313	-52.13237	3.74202	Saint-Georges	3946	134	13
3	97	301	97309	97354	-52.27884	4.88437	Remire-Montjoly	19894	383	50
3	97	301	97310	97311	-52.51284	4.46469	Roura	2609	49	13
3	97	303	97311	97320	-53.98321	4.96474	Saint-Laurent-du-Maroni	40462	1635	111
3	97	302	97312	97315	-53.01315	5.232	Sinnamary	3165	69	12
3	97	301	97313	97356	-52.50981	4.80954	Montsinéry-Tonnegrande	2346	37	8
3	97	301	97314	97380	-51.81007	4.19096	Ouanary	109	0	1
3	97	303	97352	97314	-53.39903	3.91593	Saül	153	4	1
3	97	303	97353	97370	-53.75842	2.97088	Maripasoula	9487	189	14
3	97	301	97356	97330	-52.79652	2.83799	Camopi	1645	52	3
3	97	303	97357	97340	-54.17168	4.38434	Grand-Santi	5526	197	4
3	97	302	97358	97312	-53.10068	4.52923	Saint-Élie	420	0	1
