code_reg	code_dept	code_zoneempl	code_comm	code_post	0	1	commune	pop11	naissances2011	deces2011
82	1	8213	1001	01400	4.92611	46.15343	L'Abergement-Clémenciat	780	7	2
82	1	8201	1002	01640	5.42802	46.00919	L'Abergement-de-Varey	234	7	2
82	1	8201	1004	01500	5.37293	45.96085	Ambérieu-en-Bugey	13839	228	113
82	1	8213	1005	01330	4.91227	45.99618	Ambérieux-en-Dombes	1600	22	11
82	1	8216	1006	01300	5.59432	45.7495	Ambléon	112	4	1
82	1	8201	1007	01500	5.35761	46.00559	Ambronay	2365	31	17
82	1	8201	1008	01500	5.33281	45.93671	Ambutrix	734	10	4
82	1	8216	1009	01300	5.65788	45.78736	Andert-et-Condon	339	1	1
82	1	8219	1010	01350	5.79516	45.90937	Anglefort	1031	10	5
82	1	8203	1011	01100	5.65781	46.2055	Apremont	374	6	3
82	1	8203	1012	01110	5.51131	46.00153	Aranc	306	5	1
82	1	8201	1013	01230	5.4987	45.89082	Arandas	162	2	1
82	1	8203	1014	01100	5.69062	46.28349	Arbent	3458	28	15
82	1	8216	1015	01300	5.65263	45.72376	Arbignieu	484	3	3
82	1	53	1016	01190	4.95994	46.47768	Arbigny	405	6	4
82	1	8201	1017	01230	5.48251	45.93372	Argis	421	7	3
82	1	8203	1019	01510	5.58358	45.85418	Armix	20	0	0
82	1	8213	1021	01480	4.822	45.99346	Ars-sur-Formans	1374	16	9
82	1	8216	1022	01510	5.69065	45.86959	Artemare	1140	9	9
82	1	53	1023	01570	4.88387	46.38573	Asnières-sur-Saône	73	0	1
82	1	8202	1024	01340	5.17952	46.28618	Attignat	3023	50	15
82	1	53	1025	01380	4.95287	46.32332	Bâgé-la-Ville	3114	40	20
82	1	53	1026	01380	4.92862	46.30771	Bâgé-le-Châtel	786	6	14
82	1	8214	1027	01360	5.1078	45.83112	Balan	2498	30	3
82	1	8213	1028	01990	4.90146	46.11412	Baneins	567	7	1
82	1	8202	1029	01270	5.26003	46.42884	Beaupont	650	10	5
82	1	8213	1030	01480	4.75601	46.00086	Beauregard	867	14	4
82	1	8203	1031	01100	5.63601	46.23735	Bellignat	3590	51	16
82	1	8214	1032	01360	5.1399	45.85915	Béligneux	3040	54	10
82	1	8219	1033	01200	5.83203	46.10679	Bellegarde-sur-Valserine	11630	158	118
82	1	8216	1034	01300	5.68412	45.74947	Belley	8761	125	118
82	1	8203	1035	01130	5.78472	46.25303	Belleydoux	323	4	2
82	1	8216	1036	01260	5.65116	45.88475	Belmont-Luthézieu	527	4	6
82	1	8201	1037	01470	5.48285	45.8375	Bénonces	273	4	1
82	1	8202	1038	01370	5.28253	46.31886	Bény	714	12	2
82	1	8216	1039	01350	5.7522	45.85689	Béon	401	0	0
82	1	8202	1040	01340	5.04022	46.36744	Béréziat	446	5	1
82	1	8201	1041	01500	5.36668	45.93687	Bettant	731	12	5
82	1	53	1042	01290	4.84643	46.21917	Bey	247	1	2
82	1	8214	1043	01700	4.99738	45.83903	Beynost	4471	46	22
82	1	8219	1044	01200	5.76592	46.07913	Billiat	516	7	1
