key,date,value,academie,decembre,elle,femina,franceinter,goncourt,goncourtlyceens,interallie,medicis,renaudot
Autres,1903,1,0,0,0,0,0,1,0,0,0,0
Autres,1904,1,0,0,0,1,0,0,0,0,0,0
Autres,1905,0,0,0,0,0,0,0,0,0,0,0
Autres,1906,0,0,0,0,0,0,0,0,0,0,0
Autres,1907,1,0,0,0,1,0,0,0,0,0,0
Autres,1908,1,0,0,0,0,0,1,0,0,0,0
Autres,1909,1,0,0,0,0,0,1,0,0,0,0
Autres,1910,1,0,0,0,1,0,0,0,0,0,0
Autres,1911,1,0,0,0,1,0,0,0,0,0,0
Autres,1912,1,0,0,0,1,0,0,0,0,0,0
Autres,1913,2,0,0,0,1,0,1,0,0,0,0
Autres,1914,2,0,0,0,1,0,1,0,0,0,0
Autres,1915,3,1,0,0,1,0,1,0,0,0,0
Autres,1916,1,0,0,0,1,0,0,0,0,0,0
Autres,1917,2,1,0,0,1,0,0,0,0,0,0
Autres,1918,0,0,0,0,0,0,0,0,0,0,0
Autres,1919,0,0,0,0,0,0,0,0,0,0,0
Autres,1920,2,0,0,0,1,0,1,0,0,0,0
Autres,1921,1,1,0,0,0,0,0,0,0,0,0
Autres,1922,0,0,0,0,0,0,0,0,0,0,0
Autres,1923,1,0,0,0,1,0,0,0,0,0,0
Autres,1924,0,0,0,0,0,0,0,0,0,0,0
Autres,1925,1,1,0,0,0,0,0,0,0,0,0
Autres,1926,0,0,0,0,0,0,0,0,0,0,0
Autres,1927,1,0,0,0,1,0,0,0,0,0,0
Autres,1928,2,0,0,0,1,0,1,0,0,0,0
Autres,1929,0,0,0,0,0,0,0,0,0,0,0
Autres,1930,2,0,0,0,0,0,1,0,0,0,1
Autres,1931,2,0,0,0,0,0,1,0,0,0,1
Autres,1932,1,0,0,0,0,0,0,0,0,0,1
Autres,1933,2,0,0,0,1,0,0,0,0,0,1
Autres,1934,0,0,0,0,0,0,0,0,0,0,0
Autres,1935,1,1,0,0,0,0,0,0,0,0,0
Autres,1936,3,0,0,0,1,0,0,0,1,0,1
Autres,1937,3,0,0,0,1,0,1,0,0,0,1
Autres,1938,1,0,0,0,0,0,0,0,0,0,1
Autres,1939,2,0,0,0,1,0,0,0,0,0,1
Autres,1940,4,0,0,0,1,0,1,0,0,0,2
Autres,1941,1,0,0,0,1,0,0,0,0,0,0
Autres,1942,2,0,0,0,1,0,0,0,0,0,1
Autres,1943,2,0,0,0,1,0,0,0,0,0,1
Autres,1944,3,1,0,0,1,0,0,0,0,0,1
Autres,1945,3,0,0,0,1,0,0,0,1,0,1
Autres,1946,3,1,0,0,0,0,0,0,1,0,1
Autres,1947,1,0,0,0,0,0,0,0,1,0,0
Autres,1948,3,1,0,0,1,0,0,0,1,0,0
Autres,1949,1,0,0,0,1,0,0,0,0,0,0
Autres,1950,2,1,0,0,0,0,0,0,0,0,1
Autres,1951,2,0,0,0,1,0,1,0,0,0,0
Autres,1952,0,0,0,0,0,0,0,0,0,0,0
Autres,1953,2,1,0,0,0,0,0,0,0,0,1
Autres,1954,0,0,0,0,0,0,0,0,0,0,0
Autres,1955,3,1,0,0,1,0,0,0,0,0,1
Autres,1956,1,0,0,0,0,0,0,0,1,0,0
Autres,1957,2,0,0,0,0,0,0,0,1,0,1
Autres,1958,3,1,0,0,0,0,0,0,1,1,0
Autres,1959,1,0,0,0,0,0,0,0,1,0,0
Autres,1960,2,0,0,0,0,0,1,0,1,0,0
Autres,1961,2,0,0,0,0,0,0,0,1,0,1
Autres,1962,0,0,0,0,0,0,0,0,0,0,0
