Prix,Année,Auteur,Roman,Maison d'édition
Renaudot,1926,Armand Lunel,Nicolo Peccavi,Gallimard
Renaudot,1927,Bernard Nabonne,Maïtena,Grasset
Renaudot,1928,André Obey,Le Joueur de triangle,Grasset
Renaudot,1929,Marcel Aymé,La Table aux crevés,Gallimard
Renaudot,1930,Germaine Beaumont,Piège,Lemerre
Renaudot,1931,Philippe Hériat,L'innocent,Denoël
Renaudot,1932,Louis-Ferdinand Céline,Voyage au bout de la nuit,Denoël
Renaudot,1933,Charles Brabant,Le roi dort,Denoël
Renaudot,1934,Louis Francis,Blanc,Gallimard
Renaudot,1935,François de Roux,Jours sans gloire,Gallimard
Renaudot,1936,Louis Aragon,Les Beaux Quartiers,Denoël
Renaudot,1937,Jean Rogissart,Mervale,Denoël
Renaudot,1938,Pierre-Jean Launay,Léonie la bienheureuse,Denoël
Renaudot,1939,Jean Malaquais,Les Javanais,Denoël
Renaudot,1940,(ex-aequo) David Rousset,L'Univers concentrationnaire,Minuit
Renaudot,1940,(ex-aequo) Jules Roy,La Vallée heureuse,Charlot
Renaudot,1941,Paul Mousset,Quand le temps travaillait pour nous,Grasset
Renaudot,1942,Robert Gaillard,Les Liens de chaîne,Colbert
Renaudot,1943,André Soubiran,J'étais médecin avec les chars,Didier
Renaudot,1944,Roger Peyrefitte,Les Amitiés particulières,La Table Ronde
Renaudot,1945,Henri Bosco,Le Mas Théotime,Charlot
Renaudot,1946,Prix non décerné,Prix non décerné,Prix non décerné
Renaudot,1947,Jean Cayrol,Je vivrai l'amour des autres,Le Seuil
Renaudot,1948,Pierre Frisson,Voyage aux horizons,Julliard
Renaudot,1949,Louis Guilloux,Le Jeu de patience,Gallimard
Renaudot,1950,Pierre Molaine,Les Orgues de l'enfer,Corrêa
Renaudot,1951,Robert Margerit,Le Dieu nu,Gallimard
Renaudot,1952,Jacques Perry,L'Amour de rien,Julliard
Renaudot,1953,Célia Bertin,La Dernière Innocence,Corrêa
Renaudot,1954,Jean Reverzy,Le Passage,Julliard
Renaudot,1955,Georges Govy,Le Moissonneur d'épines,La Table Ronde
Renaudot,1956,André Perrin,Le Père,Julliard
Renaudot,1957,Michel Butor,La Modification,Minuit
Renaudot,1958,Edouard Glissant,La Lézarde,Le Seuil
Renaudot,1959,Albert Palle,L'Expérience,Julliard
Renaudot,1960,Alfred Kern,Le Bonheur fragile,Gallimard
Renaudot,1961,Roger Bordier,Les Blés,Calmann-Lévy
Renaudot,1962,Simone Jacquemard,Le Veilleur de nuit,Le Seuil
Renaudot,1963,Jean-Marie Gustave Le Clézio,Le Procès-verbal,Gallimard
Renaudot,1964,Jean-Pierre Faye,L'Écluse,Le Seuil
Renaudot,1965,Georges Perec,Les Choses,Julliard
Renaudot,1966,José Cabanis,La Bataille de Toulouse,Gallimard
Renaudot,1967,Salvat Etchart,Le Monde tel qu'il est,Mercure de France
Renaudot,1968,Yambo Ouologuem,Le Devoir de violence,Le Seuil
Renaudot,1969,Max Olivier-Lacamp,Les Feux de la colère,Grasset
Renaudot,1970,Jean Freustié,Isabelle ou l'Arrière-Saison,La Table Ronde
Renaudot,1971,Pierre-Jean Rémy,Le Sac du palais d'été,Gallimard
Renaudot,1972,Christopher Frank,La Nuit américaine,Le Seuil
Renaudot,1973,Suzanne Prou,La Terrasse des Bernardini,Calmann-Lévy
Renaudot,1974,Georges Borgeaud,Voyage à l'étranger,Grasset
Renaudot,1975,Jean Joubert,L'Homme de sable,Grasset
Renaudot,1976,Michel Henry,L'Amour les yeux fermés,Gallimard
Renaudot,1977,Alphonse Boudard,Les Combattants du petit bonheur,La Table Ronde
Renaudot,1978,Conrad Detrez,L'Herbe à bruler,Calmann-Lévy
Renaudot,1979,Jean-Marc Roberts,Affaires étrangères,Le Seuil
Renaudot,1980,Danièle Sallenave,Les Portes de Gubbio,Le Seuil
Renaudot,1981,Michel Del Castillo,La Nuit du décret,Le Seuil
Renaudot,1982,Georges-Olivier Châteaureynaud,La Faculté des songes,Grasset
Renaudot,1983,Jean-Marie Rouart,Avant-Guerre,Grasset
Renaudot,1984,Annie Emaux,La Place,Gallimard
Renaudot,1985,Raphaëlle Billetdoux,Mes nuits sont plus belles que vos jours,Grasset
Renaudot,1986,Christian Giudicelli,Station balnéaire,Gallimard
Renaudot,1987,René-Jean Clot,L'Enfant halluciné,Grasset
Renaudot,1988,René Depestre,Hadriana dans tous mes rêves,Gallimard
Renaudot,1989,Philippe Doumenc,Les Comptoirs du Sud,Le Seuil
Renaudot,1990,Jean Colombier,Les Frères Romance,Calmann-Lévy
Renaudot,1991,Dan Franck,La Séparation,Le Seuil
Renaudot,1992,François Weyergans,La démence du boxeur,Gallimard
Renaudot,1993,Nicolas Bréhal,Les Corps célestes,Gallimard
Renaudot,1994,Guillaume Le Touze,Comme ton père,L'Olivier
Renaudot,1995,Patrick Besson,Les Braban,Albin Michel
Renaudot,1996,Boris Schreiber,Un silence d'environ une demi-heure,Gallimard
Renaudot,1997,Pascal Bruckner,Les Voleurs de beauté,Grasset
Renaudot,1998,Dominique Bona,Le Manuscrit de Port-Ebène,Grasset
Renaudot,1999,Daniel Picouly,L'Enfant léopard,Grasset
Renaudot,2000,Ahmadou Kourouma,Allah n'est pas obligé,Le Seuil
Renaudot,2001,Martine Le Coz,Céleste,Le Rocher
Renaudot,2002,Gérard de Cortanze,Assam,Albin Michel
Renaudot,2003,Philippe Claudel,Les âmes grises,Stock
Renaudot,2004,Irène Némirovsky,Suite française,Denoël
Renaudot,2005,Nina Bouraoui,Mes mauvaises pensées,Stock
Renaudot,2006,Alain Mabanckou,Mémoires de porc-épic,Le Seuil
Renaudot,2007,Daniel Pennac,Chagrin d'école,Gallimard
Renaudot,2008,Tierno Monénembo,Le roi de Kahel,Le Seuil
Renaudot,2009,Frédéric Beigbeder,Un roman français,Grasset
Renaudot,2010,Apocalypse Bébé,Virginie Despentes,Grasset
Renaudot,2011,Emmanuel Carrère,Limonov,P.O.L.
Renaudot,2012,Scholastique Mukasonga,Notre-Dame du Nil,Gallimard
Renaudot,2013,Yann Moix,Naissance,Grasset
Femina,1904,Myriam Harry,La Conquête de Jérusalem,Fayard
Femina,1905,Romain Rolland,Jean-Christophe,Albin Michel
Femina,1906,André Corthis,Gemmes et moires,Flammarion
Femina,1907,Colette Yver,Princesses de science,Calmann-Lévy
Femina,1908,Edouard Estaunié,La Vie secrète,Plon
Femina,1909,Edmond Jaloux,Le reste est silence,Plon
Femina,1910,Marguerite Audoux,Marie-Claire,Fasquelle
Femina,1911,Louis de Robert,Le Roman du malade,Fasquelle
Femina,1912,Jacques Morel,Feuilles mortes,Hachette
Femina,1913,Camille Marbo,La Statue voilée,Fayard
Femina,1914,Prix non décerné,Prix non décerné,Prix non décerné
Femina,1915,Prix non décerné,Prix non décerné,Prix non décerné
Femina,1916,Prix non décerné,Prix non décerné,Prix non décerné
Femina,1917,René Milan,L'Odyssée d'un transport torpillé,Fayard
Femina,1918,Henri Bachelin,Le Serviteur,Flammarion
Femina,1919,Roland Dorgelès,Les Croix de bois,Albin Michel
Femina,1920,Edmond Gojon,Le Jardin des dieux,Fasquelle
Femina,1921,Raymond Escholier,Cantegril,Albin Michel
Femina,1922,Jacques de Lacretelle,Silbermann,Gallimard
Femina,1923,Jeanne Galzy,Les Allongés,Rieder
Femina,1924,Charles Derennes,Le Bestiaire sentimental,Albin Michel
Femina,1925,Joseph Delteil,Jeanne d'Arc,Grasset
Femina,1926,Charles Silvestre,Prodige du coeur,Plon
Femina,1927,Marie Le Franc,Grand-Louis l'innocent,Rieder
Femina,1928,Dominique Dunois,Georgette Garou,Calmann-Lévy
Femina,1929,Georges Bernanos,La Joie,Plon
Femina,1930,Marc Chadourne,Cécile de la Folie,Plon
Femina,1931,Antoine de Saint-Exupéry,Vol de nuit,Gallimard
Femina,1932,Ramon Fernandez,Le Pari,Gallimard
Femina,1933,Geneviève Fauconnier,Claude,Stock
Femina,1934,Robert Francis,Le Bateau-refuge,Gallimard
Femina,1935,Claude Silve,Bénédiction,Grasset
Femina,1936,Louise Hervieu,Sangs,Denoël
Femina,1937,Raymonde Vincent,Campagne,Stock
Femina,1938,Félix de Chazournes,Caroline ou le Départ pour les îles,Gallimard
Femina,1939,Paul Vialar,La Rose de la mer,Denoël
Femina,1940,Prix non décerné,Prix non décerné,Prix non décerné
Femina,1941,Prix non décerné,Prix non décerné,Prix non décerné
Femina,1942,Prix non décerné,Prix non décerné,Prix non décerné
Femina,1943,Prix non décerné,Prix non décerné,Prix non décerné
Femina,1944,Prix non décerné,Prix non décerné,Prix non décerné
Femina,1945,Anne-Marie Monnet,Le Chemin du soleil,Myrte
